0.165,-0.938,0.412
0.242,-0.908,-0.058
-0.200,-0.845,0.038
0.170,-0.939,-0.087
0.434,-0.894,0.131
-0.180,-0.912,-0.006
-0.145,-0.918,-0.263
0.397,-0.937,0.169
0.249,-0.955,0.281
-0.093,-0.935,-0.178
0.356,-0.970,0.365
-0.068,-0.908,-0.011
0.176,-0.923,0.063
0.013,-0.947,-0.049
-0.146,-0.960,-0.173
-0.106,-0.950,-0.086
-0.009,-0.947,-0.017
-0.014,-0.906,0.001
-0.048,-0.901,-0.122
0.129,-0.942,0.174
0.032,-0.872,0.019
0.087,-0.915,-0.242
0.666,-0.989,0.276
-0.020,-0.917,-0.016
-0.198,-0.926,0.188
0.694,-0.953,0.215
0.423,-0.948,0.579
0.452,-0.997,0.571
0.218,-0.922,0.592
0.268,-0.931,0.555
-0.131,-0.952,-0.256
0.180,-0.934,-0.050
-0.168,-0.977,0.325
-0.179,-0.943,0.285
